15915462,16,1957171,1999016,61056304
15915462,32,991080,997299,30932164
15915462,64,497211,514451,15411935
15915462,128,261382,259887,7996761
15915462,256,153921,132131,4009529
15915462,512,89596,72294,2017676
15915462,1024,49775,40089,1032176
15915462,2048,43110,35214,526993
15915462,4096,27417,20406,276912
15915462,8192,27340,15941,151307
15915462,16384,29231,0,91789
15915462,32768,32298,0,53294
15915462,65536,27769,0,27772
15915462,131072,27730,0,26897
15915462,262144,39787,0,39916
15915462,524288,23964,0,13492
15915462,1048576,39030,0,16100
15915462,2097152,42738,0,21579
15915462,4194304,35484,0,15929
15915462,8388608,34985,0,17466
15915462,16777216,37609,0,15804
15915462,33554432,49088,0,18115
15915462,67108864,79758,0,20708
