1	52	1441440
2	25	1441440
3	17	1441440
4	15	1441440
5	18	1441440
6	15	1441440
7	11	1441440
8	12	1441440
9	13	1441440
10	12	1441440
11	12	1441440
12	10	1441440
13	11	1441440
14	11	1441440
15	10	1441440
16	10	1441440
18	11	1441440
20	11	1441440
21	11	1441440
22	10	1441440
24	10	1441440
26	10	1441440
28	10	1441440
30	9	1441440
32	10	1441440
33	10	1441440
35	10	1441440
36	10	1441440
39	10	1441440
40	10	1441440
42	10	1441440
44	10	1441440
45	10	1441440
48	10	1441440
52	9	1441440
55	9	1441440
56	10	1441440
60	10	1441440
63	10	1441440
65	10	1441440
66	10	1441440
70	10	1441440
72	10	1441440
77	9	1441440
78	9	1441440
80	10	1441440
84	9	1441440
88	10	1441440
90	10	1441440
91	11	1441440
96	11	1441440
99	9	1441440
104	11	1441440
105	11	1441440
110	11	1441440
112	10	1441440
117	11	1441440
120	11	1441440
126	11	1441440
130	11	1441440
132	11	1441440
140	12	1441440
143	12	1441440
144	12	1441440
154	12	1441440
156	11	1441440
160	12	1441440
165	13	1441440
168	13	1441440
176	12	1441440
180	13	1441440
182	12	1441440
195	13	1441440
198	12	1441440
208	13	1441440
210	12	1441440
220	12	1441440
224	13	1441440
231	12	1441440
234	12	1441440
240	13	1441440
252	14	1441440
260	13	1441440
264	13	1441440
273	13	1441440
280	13	1441440
286	13	1441440
288	13	1441440
308	13	1441440
312	13	1441440
315	14	1441440
330	16	1441440
336	16	1441440
352	15	1441440
360	13	1441440
364	13	1441440
385	15	1441440
390	14	1441440
396	13	1441440
416	13	1441440
420	13	1441440
429	14	1441440
440	14	1441440
455	14	1441440
462	14	1441440
468	14	1441440
480	14	1441440
495	14	1441440
504	14	1441440
520	15	1441440
528	15	1441440
546	15	1441440
560	15	1441440
572	15	1441440
585	15	1441440
616	15	1441440
624	15	1441440
630	16	1441440
660	16	1441440
672	16	1441440
693	16	1441440
715	16	1441440
720	16	1441440
728	17	1441440
770	17	1441440
780	17	1441440
792	18	1441440
819	19	1441440
840	18	1441440
858	18	1441440
880	20	1441440
910	20	1441440
924	21	1441440
936	19	1441440
990	21	1441440
1001	21	1441440
1008	22	1441440
1040	22	1441440
1056	22	1441440
1092	24	1441440
1120	24	1441440
1144	24	1441440
1155	24	1441440
1170	25	1441440
1232	26	1441440
1248	25	1441440
1260	26	1441440
1287	25	1441440
1320	27	1441440
1365	34	1441440
1386	30	1441440
1430	29	1441440
1440	30	1441440
1456	29	1441440
1540	32	1441440
1560	33	1441440
1584	33	1441440
1638	34	1441440
1680	35	1441440
1716	34	1441440
1760	34	1441440
1820	36	1441440
1848	35	1441440
1872	37	1441440
1980	37	1441440
2002	38	1441440
2016	38	1441440
2080	38	1441440
2145	40	1441440
2184	41	1441440
2288	42	1441440
2310	43	1441440
2340	42	1441440
2464	44	1441440
2520	46	1441440
2574	46	1441440
2640	48	1441440
2730	62	1441440
2772	50	1441440
2860	54	1441440
2912	54	1441440
3003	56	1441440
3080	60	1441440
3120	60	1441440
3168	61	1441440
3276	64	1441440
3360	66	1441440
3432	69	1441440
3465	68	1441440
3640	75	1441440
3696	76	1441440
3744	76	1441440
3960	83	1441440
4004	86	1441440
4095	86	1441440
4290	87	1441440
4368	90	1441440
4576	90	1441440
4620	92	1441440
4680	95	1441440
5005	100	1441440
5040	100	1441440
5148	101	1441440
5280	103	1441440
5460	111	1441440
5544	106	1441440
5720	107	1441440
6006	110	1441440
6160	112	1441440
6240	113	1441440
6435	118	1441440
6552	119	1441440
6864	123	1441440
6930	135	1441440
7280	130	1441440
7392	131	1441440
7920	139	1441440
8008	141	1441440
8190	145	1441440
8580	150	1441440
8736	157	1441440
9009	160	1441440
9240	163	1441440
9360	167	1441440
10010	176	1441440
10080	179	1441440
10296	184	1441440
10920	193	1441440
11088	196	1441440
11440	201	1441440
12012	211	1441440
12320	218	1441440
12870	231	1441440
13104	230	1441440
13728	242	1441440
13860	243	1441440
14560	261	1441440
15015	266	1441440
15840	279	1441440
16016	281	1441440
16380	294	1441440
17160	305	1441440
18018	324	1441440
18480	333	1441440
18720	330	1441440
20020	359	1441440
20592	372	1441440
21840	392	1441440
22176	399	1441440
22880	414	1441440
24024	435	1441440
25740	474	1441440
26208	482	1441440
27720	523	1441440
30030	558	1441440
